t	P_kN	v4_mm	sigma1	sigma2	sigma3	sigma4
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.005025125628140718e-02	1.059987437185929249e+00	-1.650629614411513568e+00	2.943561435643210711e+00	-3.015075376884422287e+00	-2.801394864444438415e+00	2.029584726306971731e+00
2.010050251256281437e-02	2.119974874371858498e+00	-3.301259228823027136e+00	5.887122871286421422e+00	-6.030150753768844574e+00	-5.602789728888876830e+00	4.059169452613943463e+00
3.015075376884421982e-02	3.179962311557787302e+00	-4.951888843234541149e+00	8.830684306929635241e+00	-9.045226130653263752e+00	-8.404184593333317466e+00	6.088754178920919635e+00
4.020100502512562873e-02	4.239949748743716995e+00	-6.602518457646054273e+00	1.177424574257284284e+01	-1.206030150753768915e+01	-1.120557945777775366e+01	8.118338905227886926e+00
5.025125628140703765e-02	5.299937185929645800e+00	-8.253148072057570062e+00	1.471780717821605755e+01	-1.507537688442211277e+01	-1.400697432222220051e+01	1.014792363153485866e+01
6.030150753768843963e-02	6.359924623115574605e+00	-9.903777686469082298e+00	1.766136861385927048e+01	-1.809045226130652750e+01	-1.680836918666663493e+01	1.217750835784183927e+01
7.035175879396984855e-02	7.419912060301504297e+00	-1.155440730088059631e+01	2.060493004950247808e+01	-2.110552763819095645e+01	-1.960976405111107113e+01	1.420709308414881278e+01
8.040201005025125747e-02	8.479899497487433990e+00	-1.320503691529210855e+01	2.354849148514568569e+01	-2.412060301507537829e+01	-2.241115891555550732e+01	1.623667781045577385e+01
9.045226130653266639e-02	9.539886934673361907e+00	-1.485566652970362256e+01	2.649205292078889684e+01	-2.713567839195979303e+01	-2.521255377999995417e+01	1.826626253676276690e+01
1.005025125628140753e-01	1.059987437185929160e+01	-1.650629614411514012e+01	2.943561435643211510e+01	-3.015075376884422553e+01	-2.801394864444440103e+01	2.029584726306971731e+01
1.105527638190954842e-01	1.165986180904522129e+01	-1.815692575852665058e+01	3.237917579207532270e+01	-3.316582914572864382e+01	-3.081534350888883012e+01	2.232543198937668905e+01
1.206030150753768793e-01	1.271984924623114921e+01	-1.980755537293816460e+01	3.532273722771854096e+01	-3.618090452261305501e+01	-3.361673837333326986e+01	2.435501671568367854e+01
1.306532663316583021e-01	1.377983668341708068e+01	-2.145818498734967505e+01	3.826629866336173080e+01	-3.919597989949749461e+01	-3.641813323777771672e+01	2.638460144199062896e+01
1.407035175879396971e-01	1.483982412060300859e+01	-2.310881460176119262e+01	4.120986009900495617e+01	-4.221105527638191290e+01	-3.921952810222214225e+01	2.841418616829762556e+01
1.507537688442211199e-01	1.589981155778894006e+01	-2.475944421617270308e+01	4.415342153464816732e+01	-4.522613065326633119e+01	-4.202092296666660332e+01	3.044377089460456887e+01
1.608040201005025149e-01	1.695979899497486798e+01	-2.641007383058421709e+01	4.709698297029137137e+01	-4.824120603015075659e+01	-4.482231783111101464e+01	3.247335562091154770e+01
1.708542713567839100e-01	1.801978643216079590e+01	-2.806070344499572755e+01	5.004054440593458253e+01	-5.125628140703518199e+01	-4.762371269555545439e+01	3.450294034721852654e+01
1.809045226130653328e-01	1.907977386934672381e+01	-2.971133305940724512e+01	5.298410584157779368e+01	-5.427135678391958606e+01	-5.042510755999990835e+01	3.653252507352553380e+01
1.909547738693467278e-01	2.013976130653265528e+01	-3.136196267381875558e+01	5.592766727722099773e+01	-5.728643216080401146e+01	-5.322650242444436230e+01	3.856210979983245579e+01
2.010050251256281506e-01	2.119974874371858320e+01	-3.301259228823028025e+01	5.887122871286423020e+01	-6.030150753768845107e+01	-5.602789728888880205e+01	4.059169452613943463e+01
2.110552763819095456e-01	2.225973618090451467e+01	-3.466322190264178715e+01	6.181479014850744136e+01	-6.331658291457286936e+01	-5.882929215333322759e+01	4.262127925244644189e+01
2.211055276381909684e-01	2.331972361809044259e+01	-3.631385151705330117e+01	6.475835158415064541e+01	-6.633165829145728765e+01	-6.163068701777766023e+01	4.465086397875337809e+01
2.311557788944723635e-01	2.437971105527637405e+01	-3.796448113146482228e+01	6.770191301979386367e+01	-6.934673366834172725e+01	-6.443208188222210708e+01	4.668044870506039956e+01
2.412060301507537585e-01	2.543969849246229842e+01	-3.961511074587632919e+01	7.064547445543708193e+01	-7.236180904522611002e+01	-6.723347674666653973e+01	4.871003343136735708e+01
2.512562814070351536e-01	2.649968592964822989e+01	-4.126574036028783610e+01	7.358903589108025756e+01	-7.537688442211053541e+01	-7.003487161111097237e+01	5.073961815767431460e+01
2.613065326633166041e-01	2.755967336683416136e+01	-4.291636997469935011e+01	7.653259732672346161e+01	-7.839195979899498923e+01	-7.283626647555543343e+01	5.276920288398125791e+01
2.713567839195979992e-01	2.861966080402008927e+01	-4.456699958911087123e+01	7.947615876236669408e+01	-8.140703517587940041e+01	-7.563766133999983765e+01	5.479878761028827938e+01
2.814070351758793942e-01	2.967964824120601719e+01	-4.621762920352238524e+01	8.241972019800991234e+01	-8.442211055276382581e+01	-7.843905620444428450e+01	5.682837233659525111e+01
2.914572864321607892e-01	3.073963567839194866e+01	-4.786825881793389925e+01	8.536328163365313060e+01	-8.743718592964825120e+01	-8.124045106888873136e+01	5.885795706290222284e+01
3.015075376884422398e-01	3.179962311557788013e+01	-4.951888843234540616e+01	8.830684306929633465e+01	-9.045226130653266239e+01	-8.404184593333320663e+01	6.088754178920913773e+01
3.115577889447236348e-01	3.285961055276380449e+01	-5.116951804675692017e+01	9.125040450493953870e+01	-9.346733668341707357e+01	-8.684324079777761085e+01	6.291712651551610946e+01
3.216080402010050299e-01	3.391959798994973596e+01	-5.282014766116843418e+01	9.419396594058274275e+01	-9.648241206030151318e+01	-8.964463566222202928e+01	6.494671124182309541e+01
3.316582914572864249e-01	3.497958542713566743e+01	-5.447077727557995530e+01	9.713752737622597522e+01	-9.949748743718595279e+01	-9.244603052666649035e+01	6.697629596813008845e+01
3.417085427135678199e-01	3.603957286432159179e+01	-5.612140688999145510e+01	1.000810888118691651e+02	-1.025125628140703640e+02	-9.524742539111090878e+01	6.900588069443705308e+01
3.517587939698492705e-01	3.709956030150752326e+01	-5.777203650440297622e+01	1.030246502475124117e+02	-1.055276381909548036e+02	-9.804882025555534142e+01	7.103546542074390402e+01
3.618090452261306655e-01	3.815954773869344763e+01	-5.942266611881449023e+01	1.059682116831555874e+02	-1.085427135678391721e+02	-1.008502151199998167e+02	7.306505014705106760e+01
3.718592964824120606e-01	3.921953517587938620e+01	-6.107329573322600424e+01	1.089117731187988483e+02	-1.115577889447236117e+02	-1.036516099844442351e+02	7.509463487335798959e+01
3.819095477386934556e-01	4.027952261306531057e+01	-6.272392534763751115e+01	1.118553345544419955e+02	-1.145728643216080229e+02	-1.064530048488887246e+02	7.712421959966491158e+01
3.919597989949749062e-01	4.133951005025124203e+01	-6.437455496204901806e+01	1.147988959900851995e+02	-1.175879396984924625e+02	-1.092543997133330720e+02	7.915380432597186200e+01
4.020100502512563012e-01	4.239949748743716640e+01	-6.602518457646056049e+01	1.177424574257284604e+02	-1.206030150753769021e+02	-1.120557945777776041e+02	8.118338905227886926e+01
4.120603015075376963e-01	4.345948492462309787e+01	-6.767581419087207451e+01	1.206860188613716502e+02	-1.236180904522613133e+02	-1.148571894422220510e+02	8.321297377858591915e+01
4.221105527638190913e-01	4.451947236180902934e+01	-6.932644380528357431e+01	1.236295802970148827e+02	-1.266331658291457387e+02	-1.176585843066664552e+02	8.524255850489288378e+01
4.321608040201004863e-01	4.557945979899495370e+01	-7.097707341969508832e+01	1.265731417326580726e+02	-1.296482412060301499e+02	-1.204599791711109162e+02	8.727214323119981998e+01
4.422110552763819369e-01	4.663944723618088517e+01	-7.262770303410660233e+01	1.295167031683012908e+02	-1.326633165829145753e+02	-1.232613740355553205e+02	8.930172795750675618e+01
4.522613065326633319e-01	4.769943467336681664e+01	-7.427833264851811634e+01	1.324602646039445233e+02	-1.356783919597990007e+02	-1.260627688999997673e+02	9.133131268381373502e+01
4.623115577889447270e-01	4.875942211055274811e+01	-7.592896226292964457e+01	1.354038260395877273e+02	-1.386934673366834545e+02	-1.288641637644442142e+02	9.336089741012079912e+01
4.723618090452261220e-01	4.981940954773867247e+01	-7.757959187734114437e+01	1.383473874752309030e+02	-1.417085427135678231e+02	-1.316655586288886752e+02	9.539048213642773533e+01
4.824120603015075170e-01	5.087939698492459684e+01	-7.923022149175265838e+01	1.412909489108741639e+02	-1.447236180904522200e+02	-1.344669534933330795e+02	9.742006686273471416e+01
4.924623115577889676e-01	5.193938442211053541e+01	-8.088085110616417239e+01	1.442345103465173679e+02	-1.477386934673367023e+02	-1.372683483577774837e+02	9.944965158904160774e+01
5.025125628140703071e-01	5.299937185929645977e+01	-8.253148072057567219e+01	1.471780717821605151e+02	-1.507537688442210708e+02	-1.400697432222219447e+02	1.014792363153486292e+02
5.125628140703517577e-01	5.405935929648239124e+01	-8.418211033498718621e+01	1.501216332178037476e+02	-1.537688442211055246e+02	-1.428711380866664058e+02	1.035088210416555370e+02
5.226130653266332082e-01	5.511934673366832271e+01	-8.583273994939870022e+01	1.530651946534469232e+02	-1.567839195979899785e+02	-1.456725329511108669e+02	1.055384057679625158e+02
5.326633165829145478e-01	5.617933417085423997e+01	-8.748336956381021423e+01	1.560087560890901557e+02	-1.597989949748743754e+02	-1.484739278155552711e+02	1.075679904942695089e+02
5.427135678391959983e-01	5.723932160804017855e+01	-8.913399917822174245e+01	1.589523175247333882e+02	-1.628140703517588008e+02	-1.512753226799996753e+02	1.095975752205765588e+02
5.527638190954774489e-01	5.829930904522611002e+01	-9.078462879263325647e+01	1.618958789603766206e+02	-1.658291457286432262e+02	-1.540767175444441932e+02	1.116271599468835802e+02
5.628140703517587884e-01	5.935929648241203438e+01	-9.243525840704477048e+01	1.648394403960198247e+02	-1.688442211055276516e+02	-1.568781124088885690e+02	1.136567446731905022e+02
5.728643216080402389e-01	6.041928391959796585e+01	-9.408588802145628449e+01	1.677830018316630571e+02	-1.718592964824120202e+02	-1.596795072733330301e+02	1.156863293994974100e+02
5.829145728643215785e-01	6.147927135678389732e+01	-9.573651763586779850e+01	1.707265632673062612e+02	-1.748743718592965024e+02	-1.624809021377774627e+02	1.177159141258044457e+02
5.929648241206030290e-01	6.253925879396982879e+01	-9.738714725027929831e+01	1.736701247029494652e+02	-1.778894472361808994e+02	-1.652822970022218385e+02	1.197454988521113393e+02
6.030150753768844796e-01	6.359924623115576026e+01	-9.903777686469081232e+01	1.766136861385926693e+02	-1.809045226130653248e+02	-1.680836918666664133e+02	1.217750835784182755e+02
6.130653266331658191e-01	6.465923366834168462e+01	-1.006884064791023263e+02	1.795572475742358449e+02	-1.839195979899497502e+02	-1.708850867311107322e+02	1.238046683047253111e+02
6.231155778894472697e-01	6.571922110552760898e+01	-1.023390360935138403e+02	1.825008090098790774e+02	-1.869346733668341471e+02	-1.736864815955552217e+02	1.258342530310322189e+02
6.331658291457286092e-01	6.677920854271353335e+01	-1.039896657079253259e+02	1.854443704455222814e+02	-1.899497487437185725e+02	-1.764878764599994838e+02	1.278638377573391836e+02
6.432160804020100597e-01	6.783919597989947192e+01	-1.056402953223368684e+02	1.883879318811654855e+02	-1.929648241206030264e+02	-1.792892713244440586e+02	1.298934224836461908e+02
6.532663316582915103e-01	6.889918341708539629e+01	-1.072909249367483682e+02	1.913314933168087464e+02	-1.959798994974874233e+02	-1.820906661888884912e+02	1.319230072099531128e+02
6.633165829145728498e-01	6.995917085427133486e+01	-1.089415545511599106e+02	1.942750547524519504e+02	-1.989949748743719056e+02	-1.848920610533329807e+02	1.339525919362601769e+02
6.733668341708543004e-01	7.101915829145725922e+01	-1.105921841655714246e+02	1.972186161880952113e+02	-2.020100502512562741e+02	-1.876934559177774133e+02	1.359821766625671273e+02
6.834170854271356399e-01	7.207914572864318359e+01	-1.122428137799829102e+02	2.001621776237383301e+02	-2.050251256281407279e+02	-1.904948507822218176e+02	1.380117613888741062e+02
6.934673366834170904e-01	7.313913316582912216e+01	-1.138934433943944384e+02	2.031057390593815626e+02	-2.080402010050250965e+02	-1.932962456466662218e+02	1.400413461151810282e+02
7.035175879396985410e-01	7.419912060301504653e+01	-1.155440730088059524e+02	2.060493004950248235e+02	-2.110552763819096072e+02	-1.960976405111106828e+02	1.420709308414878080e+02
7.135678391959798805e-01	7.525910804020097089e+01	-1.171947026232174665e+02	2.089928619306680559e+02	-2.140703517587939757e+02	-1.988990353755551723e+02	1.441005155677950142e+02
7.236180904522613311e-01	7.631909547738689525e+01	-1.188453322376289805e+02	2.119364233663111747e+02	-2.170854271356783443e+02	-2.017004302399996334e+02	1.461301002941021352e+02
7.336683417085426706e-01	7.737908291457283383e+01	-1.204959618520405087e+02	2.148799848019544640e+02	-2.201005025125629118e+02	-2.045018251044439808e+02	1.481596850204090003e+02
7.437185929648241212e-01	7.843907035175877240e+01	-1.221465914664520085e+02	2.178235462375976965e+02	-2.231155778894472235e+02	-2.073032199688884702e+02	1.501892697467159792e+02
7.537688442211055717e-01	7.949905778894469677e+01	-1.237972210808635083e+02	2.207671076732407869e+02	-2.261306532663316773e+02	-2.101046148333329029e+02	1.522188544730227591e+02
7.638190954773869112e-01	8.055904522613062113e+01	-1.254478506952750223e+02	2.237106691088839909e+02	-2.291457286432160458e+02	-2.129060096977774492e+02	1.542484391993298232e+02
7.738693467336683618e-01	8.161903266331655971e+01	-1.270984803096865363e+02	2.266542305445272802e+02	-2.321608040201004997e+02	-2.157074045622217682e+02	1.562780239256367452e+02
7.839195979899498123e-01	8.267902010050248407e+01	-1.287491099240980361e+02	2.295977919801703990e+02	-2.351758793969849251e+02	-2.185087994266661440e+02	1.583076086519437240e+02
7.939698492462311519e-01	8.373900753768840843e+01	-1.303997395385095501e+02	2.325413534158136599e+02	-2.381909547738692368e+02	-2.213101942911106903e+02	1.603371933782506744e+02
8.040201005025126024e-01	8.479899497487433280e+01	-1.320503691529211210e+02	2.354849148514569208e+02	-2.412060301507538043e+02	-2.241115891555552082e+02	1.623667781045577385e+02
8.140703517587939420e-01	8.585898241206025716e+01	-1.337009987673326066e+02	2.384284762871000396e+02	-2.442211055276381728e+02	-2.269129840199994987e+02	1.643963628308647174e+02
8.241206030150753925e-01	8.691896984924619574e+01	-1.353516283817441490e+02	2.413720377227433005e+02	-2.472361809045226266e+02	-2.297143788844441019e+02	1.664259475571718383e+02
8.341708542713568431e-01	8.797895728643212010e+01	-1.370022579961556062e+02	2.443155991583864761e+02	-2.502512562814069668e+02	-2.325157737488882503e+02	1.684555322834787319e+02
8.442211055276381826e-01	8.903894472361805867e+01	-1.386528876105671486e+02	2.472591605940297654e+02	-2.532663316582914774e+02	-2.353171686133329104e+02	1.704851170097857676e+02
8.542713567839196331e-01	9.009893216080398304e+01	-1.403035172249786626e+02	2.502027220296729411e+02	-2.562814070351759028e+02	-2.381185634777773714e+02	1.725147017360926611e+02
8.643216080402009727e-01	9.115891959798990740e+01	-1.419541468393901766e+02	2.531462834653161451e+02	-2.592964824120602998e+02	-2.409199583422218325e+02	1.745442864623996400e+02
8.743718592964824232e-01	9.221890703517584598e+01	-1.436047764538016906e+02	2.560898449009594060e+02	-2.623115577889446968e+02	-2.437213532066661799e+02	1.765738711887066472e+02
8.844221105527638738e-01	9.327889447236177034e+01	-1.452554060682132047e+02	2.590334063366025816e+02	-2.653266331658291506e+02	-2.465227480711106409e+02	1.786034559150135124e+02
8.944723618090452133e-01	9.433888190954769470e+01	-1.469060356826247187e+02	2.619769677722457573e+02	-2.683417085427136044e+02	-2.493241429355550736e+02	1.806330406413205480e+02
9.045226130653266639e-01	9.539886934673363328e+01	-1.485566652970362327e+02	2.649205292078890466e+02	-2.713567839195980014e+02	-2.521255377999995346e+02	1.826626253676274700e+02
9.145728643216080034e-01	9.645885678391955764e+01	-1.502072949114477467e+02	2.678640906435322222e+02	-2.743718592964823415e+02	-2.549269326644439673e+02	1.846922100939345910e+02
9.246231155778894539e-01	9.751884422110549622e+01	-1.518579245258592891e+02	2.708076520791754547e+02	-2.773869346733669090e+02	-2.577283275288884283e+02	1.867217948202415982e+02
9.346733668341709045e-01	9.857883165829142058e+01	-1.535085541402707747e+02	2.737512135148186871e+02	-2.804020100502513060e+02	-2.605297223933326904e+02	1.887513795465483497e+02
9.447236180904522440e-01	9.963881909547734494e+01	-1.551591837546822887e+02	2.766947749504618059e+02	-2.834170854271356461e+02	-2.633311172577773505e+02	1.907809642728554707e+02
9.547738693467336946e-01	1.006988065326632835e+02	-1.568098133690938027e+02	2.796383363861050384e+02	-2.864321608040200431e+02	-2.661325121222218399e+02	1.928105489991623642e+02
9.648241206030150341e-01	1.017587939698491937e+02	-1.584604429835053168e+02	2.825818978217483277e+02	-2.894472361809044401e+02	-2.689339069866661589e+02	1.948401337254694283e+02
9.748743718592964846e-01	1.028187814070351322e+02	-1.601110725979168024e+02	2.855254592573914465e+02	-2.924623115577889507e+02	-2.717353018511104210e+02	1.968697184517763503e+02
9.849246231155779352e-01	1.038787688442210708e+02	-1.617617022123283448e+02	2.884690206930347358e+02	-2.954773869346734045e+02	-2.745366967155549673e+02	1.988993031780832155e+02
